,Season,Stage,Player,Field_goals_made,Field_goals_attempts,3_points_made,3_points_attempts,Free_throw_made,Free_throw_attempts
NBA,2019 - 2020,Regular_Season,Nikola Vucevic,493,1033,98,289,131,167
NBA,2019 - 2020,Regular_Season,Ja Morant,447,937,60,179,239,308
NBA,2019 - 2020,Regular_Season,Lou Williams,391,936,111,315,292,339
NBA,2019 - 2020,Regular_Season,Dillon Brooks,435,1068,147,411,164,203
NBA,2019 - 2020,Regular_Season,Andrew Wiggins,437,978,111,334,190,268
NBA,2019 - 2020,Regular_Season,Joel Embiid,382,801,57,172,352,436
NBA,2019 - 2020,Regular_Season,Montrezl Harrell,471,812,0,18,231,351
NBA,2019 - 2020,Regular_Season,Jrue Holiday,458,1006,122,346,129,182
NBA,2019 - 2020,Regular_Season,Kristaps Porzingis,398,932,142,403,226,283
NBA,2019 - 2020,Regular_Season,Danilo Gallinari,358,817,178,439,266,298
NBA,2019 - 2020,Regular_Season,Jaylen Brown,427,887,129,338,176,243
NBA,2019 - 2020,Regular_Season,Jimmy Butler,345,758,29,119,438,525
NBA,2019 - 2020,Regular_Season,Domantas Sabonis,458,848,17,67,214,296
NBA,2019 - 2020,Regular_Season,Bam Adebayo,440,790,2,14,264,382
NBA,2019 - 2020,Regular_Season,Devonte' Graham,368,963,218,585,191,233
NBA,2019 - 2020,Regular_Season,Kemba Walker,378,889,180,473,209,242
